speaker_id,recording_id,geometry,unique_cutpoint_count,inside_phone_count,inside_phone_rate,depth_gt_20ms_count,depth_gt_50ms_count,depth_gt_100ms_count,depth_gt_20ms_rate,depth_gt_50ms_rate,depth_gt_100ms_rate,edge_occurrence_count,edge_inside_phone_count,edge_inside_phone_rate,edge_depth_gt_20ms_count,edge_depth_gt_50ms_count,edge_depth_gt_100ms_count,edge_depth_gt_20ms_rate,edge_depth_gt_50ms_rate,edge_depth_gt_100ms_rate,eligible_target_speech_sec,retained_target_speech_sec,speech_coverage,emitted_audio_sec,clip_count,mean_clip_duration_sec,geometry_fingerprint,candidate_count,selected_cutpoint_sha256,selected_clip_sha256
s01,s0102a,O0_4_sw4,91,17,0.18681318681318682,6,3,1,0.06593406593406594,0.03296703296703297,0.01098901098901099,96,19,0.19791666666666666,7,4,1,0.07291666666666667,0.041666666666666664,0.010416666666666666,315.34814700000044,207.9307820000002,0.6593689672132429,233.57200000000012,48,4.866083333333336,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,288,2105e4e8603c6af26b14d64ff40e9f021237650460707c66e343b4329bc47ab8,dc7c215ec06530b0869cc11f52ad13bca80e1f083e22712ad36a21f4e7e9d4c5
s01,s0102a,O0_4_keep90,88,17,0.19318181818181818,5,2,0,0.056818181818181816,0.022727272727272728,0.0,90,18,0.2,5,2,0,0.05555555555555555,0.022222222222222223,0.0,315.34814700000044,206.58390100000014,0.6550978750479224,232.49600000000015,45,5.166577777777781,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,288,62a5d1a27982008e97acaadce676afc91e8bd7ad2e01809b03b4d2f6c1aafacc,704866300ea6be4cd83acf245e9defea0e4558e41ab98cf37900ae25aa461745
s01,s0102a,O0_4_keep80,88,17,0.19318181818181818,6,2,0,0.06818181818181818,0.022727272727272728,0.0,90,18,0.2,7,3,0,0.07777777777777778,0.03333333333333333,0.0,315.34814700000044,205.34734900000012,0.651176646996438,231.09600000000006,45,5.135466666666668,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,282,f821a41d0382c73bc616b8de339bfdd4b547686fb2ebfb1ef49ca3f3d5b74391,f57b6474d0c0c8484aeae43b50fa575efce06e75b5ef45f41901b2d9786ed19e
s01,s0102a,O0_4_keep70,86,14,0.16279069767441862,4,0,0,0.046511627906976744,0.0,0.0,88,14,0.1590909090909091,4,0,0,0.045454545454545456,0.0,0.0,315.34814700000044,195.7620930000001,0.6207808571648269,219.94400000000007,44,4.998727272727274,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,272,7ef995aa259090f8827f9f52a96e372c97ddf24e767c21cadeccbdbe142cd199,0edc3d8086938ab75bed802e1fbbbb0902b3da111f547ae21d8f035594dbb897
s01,s0102a,O0_4_keep60,72,10,0.1388888888888889,4,1,1,0.05555555555555555,0.013888888888888888,0.013888888888888888,74,10,0.13513513513513514,4,1,1,0.05405405405405406,0.013513513513513514,0.013513513513513514,315.34814700000044,160.1618880000001,0.5078891045457764,179.06799999999998,37,4.839675675675675,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,242,830e586565ad4420c1156b173a86c70f8d8a45c69494c52f48304aefcc458ce4,272e0e54ff30bcc54dd0649b7c2359f8427346e250dda5a4916c60ae05692daf
s01,s0102a,O0_4_keep50,34,6,0.17647058823529413,2,1,1,0.058823529411764705,0.029411764705882353,0.029411764705882353,36,7,0.19444444444444445,2,1,1,0.05555555555555555,0.027777777777777776,0.027777777777777776,315.34814700000044,86.6525720000003,0.27478383121750255,98.32400000000003,18,5.462444444444446,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,167,597bd5231af3407fb1bc7bdca2bbcde7ff79a3daa94c366122d494556b3d3640,385ff58572eeed4dab1984fd987940bdb3411f58b901c2ebaf281532b6e5b827
s01,s0102a,O0_4_MARGIN_all_s0p5,88,16,0.18181818181818182,5,2,0,0.056818181818181816,0.022727272727272728,0.0,90,17,0.18888888888888888,5,2,0,0.05555555555555555,0.022222222222222223,0.0,315.34814700000044,205.60966400000012,0.6520084736695784,230.54400000000015,45,5.123200000000003,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,288,71c05a37096a9d570c47d8e8451053f9bb2468d5067137bb1103c3272b44bf4a,d405816a213d8c7a20a3c44ec50a899a8dd74c60e05ce0618632a47b1a35217d
s01,s0102a,O0_4_MARGIN_all_s1,88,16,0.18181818181818182,5,3,0,0.056818181818181816,0.03409090909090909,0.0,90,17,0.18888888888888888,5,3,0,0.05555555555555555,0.03333333333333333,0.0,315.34814700000044,203.74059200000016,0.646081462466941,227.8400000000001,45,5.063111111111113,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,288,78bff033327941f478478e0a5490c7c3bf7b5cbbd1d0cd9751e10fe5997d71ec,a5b86e9c718b91c9ca0544d77b6aca45fe3540b3c2c0786d15a8e67955fb5cdb
s01,s0102a,O0_4_MARGIN_all_s2,88,17,0.19318181818181818,6,4,0,0.06818181818181818,0.045454545454545456,0.0,90,18,0.2,6,4,0,0.06666666666666667,0.044444444444444446,0.0,315.34814700000044,201.02255100000013,0.6374622870385849,224.60000000000008,45,4.991111111111113,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,288,de13cb4ae134d76f32d330ecde4251c30af4f60d7f263938e4391825e52fff1e,8e02962047d46f68dc122082e669e1bd2e10d3f11e651ca2bb9cb2aa4752d6d5
s01,s0102a,O0_4_MARGIN_all_s4,88,18,0.20454545454545456,7,4,0,0.07954545454545454,0.045454545454545456,0.0,90,19,0.2111111111111111,7,4,0,0.07777777777777778,0.044444444444444446,0.0,315.34814700000044,198.42915900000008,0.6292383858529532,221.8240000000001,45,4.929422222222224,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,288,41d55fcbdb7f83dea1b1325f522528f364033d5047f0d830965fd9653c8d92be,b36928b95ffc990cef09f0470a82b3abd652ccf69773c3416d95aa598417b77f
