speaker_id,recording_id,geometry,unique_cutpoint_count,inside_phone_count,inside_phone_rate,depth_gt_20ms_count,depth_gt_50ms_count,depth_gt_100ms_count,depth_gt_20ms_rate,depth_gt_50ms_rate,depth_gt_100ms_rate,edge_occurrence_count,edge_inside_phone_count,edge_inside_phone_rate,edge_depth_gt_20ms_count,edge_depth_gt_50ms_count,edge_depth_gt_100ms_count,edge_depth_gt_20ms_rate,edge_depth_gt_50ms_rate,edge_depth_gt_100ms_rate,eligible_target_speech_sec,retained_target_speech_sec,speech_coverage,emitted_audio_sec,clip_count,mean_clip_duration_sec,geometry_fingerprint,vad_observation_count,vad_timestamp_sha256,vad_probability_sha256,candidate_cutpoint_sha256,selected_clip_sha256,workdir
s08,s0802b,current_A,114,7,0.06140350877192982,4,2,0,0.03508771929824561,0.017543859649122806,0.0,116,7,0.0603448275862069,4,2,0,0.034482758620689655,0.017241379310344827,0.0,366.7549859999997,255.21781299999958,0.6958809634288102,297.04000000000036,58,5.1213793103448335,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,70779,e4433f64cf2955e16f5ab2b211e392447715de1f7d83ff5f5272e96491ea0f71,9d1f767b33577a766bb00815056202c2a888b0cffca044cf9ffa589182d0d58f,a0ba5d65c8a6f67d7be2fe49de39a9b55b1ad11238d67ced6a09dc26fb5b6298,72301431a786ffe3faf16b5e94169b348df60952c9101178d989dd2d6bf87705,/tmp/buckeye_slicer_current_A_y3klujop
s08,s0802b,proper_D,106,6,0.05660377358490566,3,1,0,0.02830188679245283,0.009433962264150943,0.0,108,6,0.05555555555555555,3,1,0,0.027777777777777776,0.009259259259259259,0.0,366.7549859999997,242.69669999999957,0.6617406968258633,282.9840000000004,54,5.240444444444451,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,70779,64e520b6b35d87cbdc9543487000a36cb1797432ee12e2384685abde7f7a03a0,e35b24ae7428a1a38dcc282271a12ca702b39c4acc4ee9b68e369e4e0c87ee4d,bf6d0c84ea2b2c05352d9fa9d9712161e585969b511dbccc566cbfdd50044993,4fce69682822b956ecc8310297d623b40232bbb68d5e3b67dd736709cd985fd8,/tmp/buckeye_slicer_proper_D_loyvtn5t
s08,s0803a,current_A,110,9,0.08181818181818182,5,1,0,0.045454545454545456,0.00909090909090909,0.0,110,9,0.08181818181818182,5,1,0,0.045454545454545456,0.00909090909090909,0.0,327.51184900000027,234.93799600000014,0.7173419731754498,261.6400000000001,55,4.757090909090911,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,74712,949bd1a3155ecd5bee28929c72a373539a98dda1ce33927a56a1d1ca2e6c3181,34a7a4f2aabcd7a309012235f0cdae222489bfecc453e24089223336cb88965f,67d91ec7e6ba3e2ffc1e86ab2a87be74351eaf1ac412a3f4e524acd557b2d319,14fd908f03db8d78d3e205189b360cf3d74c7afec7484e8da4c1cc2fa3638818,/tmp/buckeye_slicer_current_A__xh9gp9d
s08,s0803a,proper_D,102,7,0.06862745098039216,2,1,1,0.0196078431372549,0.00980392156862745,0.00980392156862745,102,7,0.06862745098039216,2,1,1,0.0196078431372549,0.00980392156862745,0.00980392156862745,327.51184900000027,219.74594800000003,0.6709557186127939,246.248,51,4.828392156862745,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,74712,2340bc048d8e68e7ba38dc72037a9f597950a66abae75e72a3d8352e467a8a90,0660ffc4b1e74585568613dae1fcafe0bec63ff7f5f4712230a61167d6de1a86,d444e10826830da9fc6d0fd862334e671e69527b1c3c5323d00a6741fe5f6235,bfba1ac7a5e79660efd747f7410d41deafd4c0b07622f8b73392013f812cb35b,/tmp/buckeye_slicer_proper_D_kj0p9jnj
s08,s0803b,current_A,87,4,0.04597701149425287,3,0,0,0.034482758620689655,0.0,0.0,88,4,0.045454545454545456,3,0,0,0.03409090909090909,0.0,0.0,292.44129599999997,191.74332200000003,0.6556643149331415,220.06400000000005,44,5.001454545454546,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,71178,8f3df16bf43877f04928b9d5c1fb892f13a0d0cd86afc3420eed9e41a28ee700,b080b2d5b6ba7806a4dabbe6e077b6de9cba165cc84b1550e54106d07d4a6b0b,3fa576ef92f549446a1d47d3d6888a4b5dc0aeb0038f2c5f93aed0b93282baa8,324381df96a08bdb13f358187df2695984e24e6872bb4a1816eb1253d2a1378a,/tmp/buckeye_slicer_current_A_dt15jqjr
s08,s0803b,proper_D,83,3,0.03614457831325301,3,0,0,0.03614457831325301,0.0,0.0,84,3,0.03571428571428571,3,0,0,0.03571428571428571,0.0,0.0,292.44129599999997,181.8381780000002,0.6217937770320927,209.1519999999999,42,4.9798095238095215,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,71178,f3f6e2532aaf51ba7cfcf33035bc76835f0cae5570409d58e9505358592f7cf7,6e4d5a409111f19ab62e56f55a0f09d32e8d2f75269b8aee3d8e2fde56f89ab6,d886f1f0a80ed81590d877a292c5e546554d1c717734395ec4798c9af903ad96,e7e21dd5efee12d23894a5b87618b43ee8ff12886f3f234be5aa7c9f7c784f8d,/tmp/buckeye_slicer_proper_D_h5t_6ebu
s08,s0804a,current_A,19,2,0.10526315789473684,2,1,0,0.10526315789473684,0.05263157894736842,0.0,20,2,0.1,2,1,0,0.1,0.05,0.0,90.74609900000007,49.02971999999998,0.5402956219638703,55.27999999999998,10,5.527999999999998,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,23174,0c105226542aa5c3a19c5961777d72e51bf03480d82e23ce0ce8e0324454a2bb,e47cd1c92e2f82024482bb7b73ce34e8f42b591f66ad30659b12c3968eee4032,afc06d7119e782e9a1c15e09f0393a6fee173fd7d7327adbe3769b7a196dcfe2,90ddec3ddb1d2c78e8ee9f92469cff5be291cbaa61ea62d303f7932e26bb87f6,/tmp/buckeye_slicer_current_A_pgaxo_jd
s08,s0804a,proper_D,18,1,0.05555555555555555,1,0,0,0.05555555555555555,0.0,0.0,18,1,0.05555555555555555,1,0,0,0.05555555555555555,0.0,0.0,90.74609900000007,48.85475499999997,0.5383675501026213,54.83999999999999,9,6.093333333333332,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,23174,82939c7cdd6cd97310ecc4fad745bf13e9aa2b1c6ef234a3c7ae40dbf50a57d2,d6293d63b2b05cb14475ffd123dffe041b78ad34e82bf5b892e5de29478e05ca,bfa186c64ca7af6a54f107fbbf75e68fab50e04ad976ed74dc879d3e9f67c423,68e9dfeb35d63640d5399809ba01e91da7820cdc66cb50c449e89aeabec1eaf7,/tmp/buckeye_slicer_proper_D_yo0wyz5b
s09,s0901a,current_A,99,12,0.12121212121212122,10,3,1,0.10101010101010101,0.030303030303030304,0.010101010101010102,104,13,0.125,11,4,2,0.10576923076923077,0.038461538461538464,0.019230769230769232,319.76242100000013,235.67006900000018,0.7370161517509904,272.0800000000001,52,5.232307692307694,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,75100,d8c4e139e3bf0752b782cce74c5704d790570d4c8ad1df947c305a5aa9b10e19,abdd3ffc7826dbed58cc2f6d20cfc27c206da7781c69036f2652de51c142e5e2,c331f8b5362943f9bcc2e0c8b406d710d1147510aea5eb73e7464f696dcdbbad,8ec1441528dca7feff32902aa316fe05986cdd38fdad7b00f9eca4f932fd2af9,/tmp/buckeye_slicer_current_A_7bupnw7y
s09,s0901a,proper_D,91,11,0.12087912087912088,7,3,1,0.07692307692307693,0.03296703296703297,0.01098901098901099,94,12,0.1276595744680851,8,4,2,0.0851063829787234,0.0425531914893617,0.02127659574468085,319.76242100000013,213.19875000000008,0.6667411052657748,244.6159999999998,47,5.204595744680846,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,75100,9295b5b162e29f10bc0d7373b3b6b9ec485a0126fcad0241a18f4760dd6d221e,4b8d30c0e9b8e9ae65575d042b48facac592dbf6bc02eeee9fe94c6bc29623b1,ffcef45d6ded4ddaf8f1a8797aa3a3b15ab4280b443d7cb78d2ab1fc81b851da,5403f1eb0dbfbc4fe0a33acc392bf861bf95868101b18fc527416cf2422c82e3,/tmp/buckeye_slicer_proper_D_gn53pl6j
