geometry,speaker_id,recording_id,buffer_id,time_sec,depth_ms,gt_20ms,gt_50ms,gt_100ms
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000054,322.432,21.429,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000054,329.576,59.576,True,True,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000058,347.4,24.0,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000058,352.288,16.0,False,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000061,396.696,43.76,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000061,404.6,34.438,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000062,405.344,30.438,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000081,512.56,28.892,True,False,False
current_A,s01,s0102b,s01_s0102b_raw_nemo_buffer_000084,537.896,8.0,False,False,False
proper_D,s01,s0102b,s01_s0102b_raw_nemo_buffer_000009,80.136,15.62,False,False,False
proper_D,s01,s0102b,s01_s0102b_raw_nemo_buffer_000016,130.824,5.294,False,False,False
proper_D,s01,s0102b,s01_s0102b_raw_nemo_buffer_000017,135.696,32.0,True,False,False
proper_D,s01,s0102b,s01_s0102b_raw_nemo_buffer_000021,192.192,16.0,False,False,False
proper_D,s01,s0102b,s01_s0102b_raw_nemo_buffer_000052,303.368,38.073,True,False,False
proper_D,s01,s0102b,s01_s0102b_raw_nemo_buffer_000058,347.408,32.0,True,False,False
proper_D,s01,s0102b,s01_s0102b_raw_nemo_buffer_000058,352.296,8.0,False,False,False
proper_D,s01,s0102b,s01_s0102b_raw_nemo_buffer_000062,405.344,30.438,True,False,False
proper_D,s01,s0102b,s01_s0102b_raw_nemo_buffer_000065,431.184,12.149,False,False,False
proper_D,s01,s0102b,s01_s0102b_raw_nemo_buffer_000084,537.896,8.0,False,False,False
min_quiet_run_64ms,s01,s0102b,s01_s0102b_raw_nemo_buffer_000004,62.152,24.0,True,False,False
min_quiet_run_64ms,s01,s0102b,s01_s0102b_raw_nemo_buffer_000009,80.144,23.62,True,False,False
min_quiet_run_64ms,s01,s0102b,s01_s0102b_raw_nemo_buffer_000017,135.712,33.062,True,False,False
min_quiet_run_64ms,s01,s0102b,s01_s0102b_raw_nemo_buffer_000017,141.864,53.976,True,True,False
min_quiet_run_64ms,s01,s0102b,s01_s0102b_raw_nemo_buffer_000019,160.64,98.154,True,True,False
min_quiet_run_64ms,s01,s0102b,s01_s0102b_raw_nemo_buffer_000058,347.4,24.0,True,False,False
min_quiet_run_64ms,s01,s0102b,s01_s0102b_raw_nemo_buffer_000058,352.288,16.0,False,False,False
min_quiet_run_64ms,s01,s0102b,s01_s0102b_raw_nemo_buffer_000061,394.016,37.188,True,False,False
min_quiet_run_64ms,s01,s0102b,s01_s0102b_raw_nemo_buffer_000062,405.344,30.438,True,False,False
min_quiet_run_64ms,s01,s0102b,s01_s0102b_raw_nemo_buffer_000081,512.56,28.892,True,False,False
min_quiet_run_64ms,s01,s0102b,s01_s0102b_raw_nemo_buffer_000084,537.896,8.0,False,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000004,62.152,24.0,True,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000009,80.144,23.62,True,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000017,135.712,33.062,True,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000017,141.864,53.976,True,True,False
