raw_clip_count,raw_emitted_sec,clips_lt_3,clips_gt_15,legal_clip_count,native_compatible,note,speaker_id,recording_id,system,mode,elapsed_sec,detector_runtime_sec,packing_runtime_sec
12,8.415999999999954,12,0,0,False,native output not directly benchmark-compatible,s06,s0601a,pydub_native,native,3.511768,3.5081980590002786,0.0
87,273.1536249999997,44,0,43,True,native legal clips scored without merge/truncate,s06,s0601a,ffmpeg_native,native,2.684701,2.6790833640043274,0.0
137,353.24999999999943,89,0,48,True,native legal clips scored without merge/truncate,s08,s0801a,OpenVPI_native,native,0.031492,0.027104365988634527,0.0
131,354.1759999999994,86,0,45,True,native legal clips scored without merge/truncate,s08,s0801a,librosa_native,native,0.021592,0.0176522680085327,0.0
44,26.911999999999807,44,0,0,False,native output not directly benchmark-compatible,s08,s0801a,pydub_native,native,4.516638,4.511086704027548,0.0
131,354.1759999999994,86,0,45,True,native legal clips scored without merge/truncate,s08,s0801a,ffmpeg_native,native,4.0536,4.04478915699292,0.0
151,352.9579999999993,103,0,48,True,native legal clips scored without merge/truncate,s11,s1101a,OpenVPI_native,native,0.029204,0.024808078040223336,0.0
151,352.95999999999924,103,0,48,True,native legal clips scored without merge/truncate,s11,s1101a,librosa_native,native,0.022659,0.01851842202449916,0.0
32,22.975999999999843,32,0,0,False,native output not directly benchmark-compatible,s11,s1101a,pydub_native,native,3.955561,3.9501347280056507,0.0
151,352.95999999999924,103,0,48,True,native legal clips scored without merge/truncate,s11,s1101a,ffmpeg_native,native,4.670096,4.660474180989695,0.0
165,467.0419999999993,91,0,74,True,native legal clips scored without merge/truncate,s16,s1601a,OpenVPI_native,native,0.038588,0.03267421901909984,0.0
156,471.599999999999,86,0,70,True,native legal clips scored without merge/truncate,s16,s1601a,librosa_native,native,0.026627,0.02136218596206163,0.0
26,17.983999999999945,26,0,0,False,native output not directly benchmark-compatible,s16,s1601a,pydub_native,native,5.959424,5.952458790034143,0.0
156,471.599999999999,86,0,70,True,native legal clips scored without merge/truncate,s16,s1601a,ffmpeg_native,native,4.788667,4.777340087985067,0.0
218,390.2438749999984,188,0,30,True,native legal clips scored without merge/truncate,s22,s2201a,OpenVPI_native,native,0.038798,0.033415110017813276,0.0
217,390.7918749999982,187,0,30,True,native legal clips scored without merge/truncate,s22,s2201a,librosa_native,native,0.027546,0.022831476031569764,0.0
65,50.33587499999926,65,0,0,False,native output not directly benchmark-compatible,s22,s2201a,pydub_native,native,3.54556,3.53902036600266,0.0
217,390.7918749999982,187,0,30,True,native legal clips scored without merge/truncate,s22,s2201a,ffmpeg_native,native,6.648662,6.634492446999502,0.0
121,288.4809999999993,89,0,32,True,native legal clips scored without merge/truncate,s24,s2401b,OpenVPI_native,native,0.024551,0.020833686015976127,0.0
118,288.6909999999993,86,0,32,True,native legal clips scored without merge/truncate,s24,s2401b,librosa_native,native,0.018217,0.014751766990229953,0.0
22,14.495999999999817,22,0,0,False,native output not directly benchmark-compatible,s24,s2401b,pydub_native,native,3.217521,3.213009165992844,0.0
118,288.6909999999993,86,0,32,True,native legal clips scored without merge/truncate,s24,s2401b,ffmpeg_native,native,3.634641,3.6272614040062763,0.0
